ID	DOCULECT	CONCEPT	SPANISH	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	NOTES
23	Kashinawa_B	animal	animal	yuinaka	yuinaka	j u + i n a k a	_thing domesticated	24	1544 1545	
24	Araona	animal	animal	tsajakata	tsajakata	ts a j a + k a t a		25	7 8	
25	Araona	animal	animal	sichaikana	sichaikana	s i tʃ a i + k a n a		18	5 6	
26	Araona	animal	animal	tenaikana	tenaikana	t e n a i + k a n a		18	9 10	
27	Araona	animal	animal	waenikana	waenikana	w a e n i k a n a		18	14	
28	Tacana	animal	animal	animalu	animalu	a n i m a l u		1546	12	borrowing
29	Cavinena	animal	animal	uu	uu	uː		24	4	
30	Cavinena	animal	animal	cuanubi	cuanubi	c u a n u b i		5	11	
31	Ese_ejja	animal	animal	ijjiacajji	ijjiacajji	i dʒː i a c a dʒː i		23	13	
32	Matses	dog	perro	opa	opa	o p a	dog	164		
33	Matis	dog	perro	wapa	wapa	w a p a		164		
34	Marubo	dog	perro	wapa	wapa	w a p a		164		
35	Katukina	dog	perro	kaman	kaman	k a m a n		261		
36	Shipibo_Konibo	dog	perro	utʃiti	utʃiti	u tʃ i + t i	dog _ti	270		
37	Kapanawa	dog	perro	utʃiti	utʃiti	u tʃ i + t i	dog _ti	270		
38	Arara	dog	perro	kamã	kamã	k a m ã		261		
39	Shanenawa	dog	perro	kaman	kaman	k a m a n		261		
40	Yawanawa	dog	perro	kaman	kaman	k a m a n		261		
41	Nukini	dog	perro	tapainu	tapainu	t a p a i n u		262		
42	Poyanawa	dog	perro	utʃiti	utʃiti	u tʃ i t i		270		
43	Iskonawa	dog	perro	piɾu	piɾu	p i ɾ u		269		
44	Chakobo	dog	perro	inaka	inaka	i n a k a		268		
45	Kakataibo	dog	perro	kamon	kamon	k a m o n		261		
46	Kaxarari	dog	perro	tʃaʂpa	tʃaʂpa	tʃ a ʂ p a		262		
47	Mastanawa	dog	perro	paʂda	paʂda	p a ʂ d a		263		
48	Chaninawa	dog	perro	kama	kama	k a m a		261		
49	Sharanawa	dog	perro	paʂda	paʂda	p a ʂ d a		263		
50	Amawaka	dog	perro	indu	indu	i n d u		265		
51	Nawa	dog	perro	paʂda	paʂda	p a ʂ d a		263		
52	Marinawa	dog	perro	ka:ma	ka:ma	k aː m a		261		
53	Yaminawa	dog	perro	paʂta	paʂta	p a ʂ t a		263		
54	Kashinawa_P	dog	perro	kama	kama	k a m a		261		
55	Kashinawa_B	dog	perro	kamã	kamã	k a m ã		261		
56	Araona	dog	perro	nio	nio	n i o		266		
57	Tacana	dog	perro	uchi	uchi	u tʃ i		270		
58	Cavinena	dog	perro	chapa	chapa	tʃ a p a		262		
59	Ese_ejja	dog	perro	iñaehua	iñaehua	i ɲ a e h u a		268		
60	Matses	bird	pajaro	wiktʂu	wiktʂu	w i k ʈʂ u	bird	84		
61	Matis	bird	pajaro	tʃididiʃ	tʃididiʃ	tʃ i d i d i ʃ		85		
62	Marubo	bird	pajaro	ʃai	ʃai	ʃ a i		77		
63	Shipibo_Konibo	bird	pajaro	isa	isa	i s a		77		
64	Kapanawa	bird	pajaro	isa	isa	i s a		77		
65	Arara	bird	pajaro	duĩda	duĩda	d u ĩ d a		78		
66	Shanenawa	bird	pajaro	juina	juina	j u i n a		78		
67	Yawanawa	bird	pajaro	juina	juina	j u i n a		78		
68	Nukini	bird	pajaro	pãri	pãri	p ã r i		83		
69	Poyanawa	bird	pajaro	puya	puya	p u j a		76		
70	Iskonawa	bird	pajaro	piɾiʃika	piɾiʃika	p i ɾ i ʃ i k a		1557		
71	Chakobo	bird	pajaro	isaka	isaka	i s a k a		77		
72	Pakawara	bird	pajaro	isku	isku	i s k u		82		
73	Kakataibo	bird	pajaro	?isa	ʔisa	ʔ i s a		77		
74	Kaxarari	bird	pajaro	ʂuipiatu	ʂuipiatu	ʂ u i p i a t u		86		
75	Mastanawa	bird	pajaro	pɨja	pɨja	p ɨ j a		76		
76	Chaninawa	bird	pajaro	pɨija	pɨija	p ɨ i j a		76		
77	Sharanawa	bird	pajaro	pɨija	pɨija	p ɨ i j a		76		
78	Sharanawa	bird	pajaro	t͡sit͡sipiu	t͡sit͡sipiu	ts i ts i p i u		79		
79	Amawaka	bird	pajaro	pɨnja	pɨnja	p ɨ n j a		76		
80	Nawa	bird	pajaro	pɨja	pɨja	p ɨ j a		76		
81	Marinawa	bird	pajaro	pɨ:ja	pɨ:ja	p ɨː j a		76		
82	Marinawa	bird	pajaro	tsi:tsipju	tsi:tsipju	ts iː ts i p j u		79		
83	Yaminawa	bird	pajaro	pɨja	pɨja	p ɨ j a		76		
84	Kashinawa_P	bird	pajaro	isa	isa	i s a		77		
85	Kashinawa_B	bird	pajaro	isa	isa	i s a		77		
86	Araona	bird	pajaro	boni	boni	b o n i		1556		
87	Tacana	bird	pajaro	d'ia	d'ia	d ʔ i a		81		
88	Cavinena	bird	pajaro	chai	chai	tʃ a i		88		
89	Cavinena	bird	pajaro	jeta aquique	jeta aquique	j e t a + a q u i q u e		80		
90	Ese_ejja	bird	pajaro	cuichojji	cuichojji	c u i tʃ o dʒː i		87		
91	Matses	snake	culebra	nisi	nisi	n i s i	vine	1115		
92	Matis	snake	culebra	dunu	dunu	d u n u		1110		
93	Marubo	snake	culebra	runu	runu	r u n u		1110		
94	Katukina	snake	culebra	runu	runu	r u n u		1110		
95	Shipibo_Konibo	snake	culebra	runu	runu	r u n u		1110		
96	Kapanawa	snake	culebra	runu	runu	r u n u		1110		
97	Arara	snake	culebra	rundu	rundu	r u n d u		1110		
98	Shanenawa	snake	culebra	runu	runu	r u n u		1110		
99	Yawanawa	snake	culebra	runu	runu	r u n u		1110		
100	Nukini	snake	culebra	βĩwã	βĩwã	β ĩ w ã		1114		
101	Poyanawa	snake	culebra	inãhãkara	inãhãkara	i n ã h ã k a r a		1113		
102	Poyanawa	snake	culebra	rũdu	rũdu	r ũ d u		1110		
103	Iskonawa	snake	culebra	hɨamiʦa	hɨamiʦa	h ɨ a m i ts a		1116		
104	Iskonawa	snake	culebra	nasasaβaj	nasasaβaj	n a s a s a β a dʒ		1112		
105	Chakobo	snake	culebra	runu	runu	r u n u		1110		
106	Kakataibo	snake	culebra	runu	runu	r u n u		1110		
107	Kaxarari	snake	culebra	tʃulu	tʃulu	tʃ u l u		1598		
108	Mastanawa	snake	culebra	ɾudu	ɾudu	ɾ u d u		1110		
109	Chaninawa	snake	culebra	ɾudu	ɾudu	ɾ u d u		1110		
110	Sharanawa	snake	culebra	ɾudu	ɾudu	ɾ u d u		1110		
111	Amawaka	snake	culebra	ɾundu	ɾundu	ɾ u n d u		1110		
112	Nawa	snake	culebra	ɾudu	ɾudu	ɾ u d u		1110		
113	Marinawa	snake	culebra	ɾundu	ɾundu	ɾ u n d u		1110		
114	Yaminawa	snake	culebra	ɾudu	ɾudu	ɾ u d u		1110		
115	Kashinawa_P	snake	culebra	dunu	dunu	d u n u		1110		
116	Kashinawa_B	snake	culebra	dunu	dunu	d u n u		1110		
117	Araona	snake	culebra	bakua	bakua	b a k u a		1111		
118	Tacana	snake	culebra	bacua	bacua	b a c u a		1111		
119	Cavinena	snake	culebra	bacua	bacua	b a c u a		1111		
120	Ese_ejja	snake	culebra	peyo	peyo	p e j o		1117		
121	Matses	fish [noun]	pez pescado	nuɨkkid	nuɨkkid	n u ɨ + k i d	delicious _kid	418		
122	Matis	fish [noun]	pez pescado	tʃapa	tʃapa	tʃ a p a		357		
123	Marubo	fish [noun]	pez pescado	japa	japa	j a p a		357		
124	Katukina	fish [noun]	pez pescado	tsatsa	tsatsa	ts a ts a		416		
125	Shipibo_Konibo	fish [noun]	pez pescado	yapa	yapa	j a p a		357		
126	Kapanawa	fish [noun]	pez pescado	yapa	yapa	j a p a		357		
127	Arara	fish [noun]	pez pescado	jumba	jumba	j u m b a		412		
128	Shanenawa	fish [noun]	pez pescado	iʂkin	iʂkin	i ʂ k i n		421		
129	Yawanawa	fish [noun]	pez pescado	juma	juma	j u m a		412		
130	Nukini	fish [noun]	pez pescado	naʂtu	naʂtu	n a ʂ t u		419		
131	Nukini	fish [noun]	pez pescado	kawa	kawa	k a w a		423		
132	Poyanawa	fish [noun]	pez pescado	jumã	jumã	j u m ã		412		
133	Iskonawa	fish [noun]	pez pescado	juma	juma	j u m a		412		
134	Chakobo	fish [noun]	pez pescado	yapa	yapa	j a p a		357		
135	Pakawara	fish [noun]	pez pescado	saninu	saninu	s a n i n u		420		
136	Kakataibo	fish [noun]	pez pescado	ɲapa	ɲapa	ɲ a p a		412		
137	Kaxarari	fish [noun]	pez pescado	mailu	mailu	m a i l u		417		
138	Mastanawa	fish [noun]	pez pescado	ʃima	ʃima	ʃ i m a		413		
139	Chaninawa	fish [noun]	pez pescado	ʃima	ʃima	ʃ i m a		413		
140	Chaninawa	fish [noun]	pez pescado	βaka	βaka	β a k a		415		
141	Sharanawa	fish [noun]	pez pescado	ʃima	ʃima	ʃ i m a		413		
142	Amawaka	fish [noun]	pez pescado	jumba	jumba	j u m b a		412		
143	Nawa	fish [noun]	pez pescado	ʃima	ʃima	ʃ i m a		413		
144	Marinawa	fish [noun]	pez pescado	ʃima	ʃima	ʃ i m a		413		
145	Yaminawa	fish [noun]	pez pescado	huwɨ	huwɨ	h u w ɨ		422		
146	Kashinawa_P	fish [noun]	pez pescado	βaka	βaka	β a k a		415		
147	Kashinawa_B	fish [noun]	pez pescado	βaka	βaka	β a k a		415		
148	Araona	fish [noun]	pez pescado	jae	jae	j a e		414		
149	Tacana	fish [noun]	pez pescado	se	se	s e		414		
150	Cavinena	fish [noun]	pez pescado	jae	jae	j a e		414		
151	Ese_ejja	fish [noun]	pez pescado	jai	jai	j a i		414		
152	Matses	louse	piojo	matiʃ	matiʃ	m a t i ʃ	louse	727		
153	Matis	louse	piojo	tʃa	tʃa	tʃ a		726		
154	Marubo	louse	piojo	ja	ja	j a		724		
155	Katukina	louse	piojo	ia	ia	i a		724		
156	Shipibo_Konibo	louse	piojo	ia	ia	i a		724		
157	Kapanawa	louse	piojo	ia	ia	i a		724		
158	Arara	louse	piojo	ia	ia	i a		724		
159	Shanenawa	louse	piojo	ia	ia	i a		724		
160	Yawanawa	louse	piojo	ia	ia	i a		724		
161	Nukini	louse	piojo	ia	ia	i a		724		
162	Poyanawa	louse	piojo	ia	ia	i a		724		
163	Iskonawa	louse	piojo	ia	ia	i a		724		
164	Chakobo	louse	piojo	ia	ia	i a		724		
165	Pakawara	louse	piojo	ia	ia	i a		724		
166	Kakataibo	louse	piojo	?ia	ʔia	ʔ i a		724		
167	Kaxarari	louse	piojo	iya	iya	i j a		724		
168	Mastanawa	louse	piojo	ija	ija	i j a		724		
169	Chaninawa	louse	piojo	ija	ija	i j a		724		
170	Sharanawa	louse	piojo	i:a	i:a	iː a		724		
171	Amawaka	louse	piojo	inja	inja	i n j a		690		
172	Nawa	louse	piojo	ija	ija	i j a		724		
173	Marinawa	louse	piojo	ija	ija	i j a		724		
174	Yaminawa	louse	piojo	ija	ija	i j a		724		
175	Kashinawa_P	louse	piojo	ia	ia	i a		724		
176	Kashinawa_B	louse	piojo	ia	ia	i a		724		
177	Araona	louse	piojo	iñakua	iñakua	i ɲ a k u a		690		
178	Tacana	louse	piojo	bia	bia	b i a		724		
179	Cavinena	louse	piojo	bia	bia	b i a		724		
180	Ese_ejja	louse	piojo	bia	bia	b i a		724		
181	Matses	worm (i.e. earthworm)	lombriz (gusano = grub)	nuen	nuen	n u e n	worm	1519		
182	Matis	worm (i.e. earthworm)	lombriz (gusano = grub)	nuen	nuen	n u e n		1519		
183	Marubo	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
184	Katukina	worm (i.e. earthworm)	lombriz (gusano = grub)	noin	noin	n o i n		1519		
185	Shipibo_Konibo	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
186	Kapanawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
187	Arara	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
188	Shanenawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
189	Yawanawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nuwĩ	nuwĩ	n u w ĩ		1519		
190	Nukini	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
191	Poyanawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
192	Iskonawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
193	Chakobo	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
194	Pakawara	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
195	Kakataibo	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
196	Kaxarari	worm (i.e. earthworm)	lombriz (gusano = grub)	nuli	nuli	n u l i		1519		
197	Mastanawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
198	Chaninawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
199	Sharanawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nũĩ	nũĩ	n ũ ĩ		1519		
200	Amawaka	worm (i.e. earthworm)	lombriz (gusano = grub)	nuʔin	nuʔin	n u ʔ i n		1519		
201	Nawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nuwi	nuwi	n u w i		1519		
202	Marinawa	worm (i.e. earthworm)	lombriz (gusano = grub)	unwɨ	unwɨ	u n w ɨ		1519		
203	Yaminawa	worm (i.e. earthworm)	lombriz (gusano = grub)	nũmi	nũmi	n ũ m i		1519		
204	Kashinawa_P	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
205	Kashinawa_B	worm (i.e. earthworm)	lombriz (gusano = grub)	nuin	nuin	n u i n		1519		
206	Araona	worm (i.e. earthworm)	lombriz (gusano = grub)	tsojo	tsojo	ts o j o		1520		
207	Araona	worm (i.e. earthworm)	lombriz (gusano = grub)	joto	joto	j o t o		1520		
208	Araona	worm (i.e. earthworm)	lombriz (gusano = grub)	esho	esho	e ʃ o		1522		
209	Tacana	worm (i.e. earthworm)	lombriz (gusano = grub)	tunu	tunu	t u n u		1521		
210	Cavinena	worm (i.e. earthworm)	lombriz (gusano = grub)	tyunu	tyunu	t j u n u		1521		
211	Ese_ejja	worm (i.e. earthworm)	lombriz (gusano = grub)	?	ʔ	ʔ		1523		
212	Matses	grass	hierba	wasin	wasin	w a s i n	grass	508		
213	Matis	grass	hierba	wesin	wesin	w e s i n		508		
214	Marubo	grass	hierba	wasi	wasi	w a s i		508		
215	Shipibo_Konibo	grass	hierba	wasi	wasi	w a s i		508		
216	Kapanawa	grass	hierba	wasi	wasi	w a s i		508		
217	Shanenawa	grass	hierba	wasi	wasi	w a s i		508		
218	Iskonawa	grass	hierba	wãsi	wãsi	w ã s i		508		
219	Chakobo	grass	hierba	wasi	wasi	w a s i		508		
220	Pakawara	grass	hierba	tsiki	tsiki	ts i k i		510		
221	Kakataibo	grass	hierba	ʂuβi	ʂuβi	ʂ u β i		512		
222	Kaxarari	grass	hierba	wasai	wasai	w a s a i		508		
223	Mastanawa	grass	hierba	ɸasi	ɸasi	ɸ a s i		508		
224	Chaninawa	grass	hierba	ɸasi	ɸasi	ɸ a s i		508		
225	Sharanawa	grass	hierba	ɸasi	ɸasi	ɸ a s i		508		
226	Amawaka	grass	hierba	wasi	wasi	w a s i		508		
227	Nawa	grass	hierba	ɸasi	ɸasi	ɸ a s i		508		
228	Marinawa	grass	hierba	ʧaka	ʧaka	tʃ a k a		511		
229	Yaminawa	grass	hierba	ɸasi	ɸasi	ɸ a s i		508		
230	Kashinawa_P	grass	hierba	asi	asi	a s i		508		
231	Araona	grass	hierba	notsa	notsa	n o ts a		481		
232	Tacana	grass	hierba	id'ene	id'ene	i d e n e		509		
233	Cavinena	grass	hierba	sibasiba	sibasiba	s i b a s i b a		514		
234	Ese_ejja	grass	hierba	?	ʔ	ʔ		513		
235	Matses	tree	arbol	kuɨte	kuɨte	k u ɨ + t e	fire _te	1341		
236	Matis	tree	arbol	iwi	iwi	i w i	tree	1342		
237	Marubo	tree	arbol	iwi	iwi	i w i		1342		
238	Katukina	tree	arbol	hiwi	hiwi	h i w i		1342		
239	Kanamari	tree	arbol	hiwi	hiwi	h i w i		1342		
240	Shipibo_Konibo	tree	arbol	hiwi	hiwi	h i w i	wood	1342		
241	Kapanawa	tree	arbol	hiwi	hiwi	h i w i	wood	1342		
242	Arara	tree	arbol	iwi	iwi	i w i		1342		
243	Shanenawa	tree	arbol	iwi	iwi	i w i		1342		
244	Yawanawa	tree	arbol	iwi	iwi	i w i		1342		
245	Nukini	tree	arbol	iwi	iwi	i w i		1342		
246	Poyanawa	tree	arbol	iwi	iwi	i w i		1342		
247	Iskonawa	tree	arbol	iβi	iβi	i β i		1342		
248	Chakobo	tree	arbol	hiwi	hiwi	h i w i		1342		
249	Pakawara	tree	arbol	hiwi	hiwi	h i w i		1342		
250	Kakataibo	tree	arbol	i	i	i		1342		
251	Kaxarari	tree	arbol	hiwi	hiwi	h i w i		1342		
252	Mastanawa	tree	arbol	di	di	d i		1338		
253	Chaninawa	tree	arbol	di:	di:	d iː		1338		
254	Sharanawa	tree	arbol	iwi	iwi	i w i		1342		
255	Amawaka	tree	arbol	wimbi	wimbi	w i m b i		1342		
256	Nawa	tree	arbol	di:	di:	d iː		1338		
257	Marinawa	tree	arbol	di	di	d i		1338		
258	Yaminawa	tree	arbol	ibi	ibi	i b i		1342		
259	Kashinawa_P	tree	arbol	hi	hi	h i		1342		
260	Kashinawa_P	tree	arbol	ni	ni	n i		1338		
261	Kashinawa_B	tree	arbol	ni	ni	n i		1338		
262	Araona	tree	arbol	akui	akui	a k u i		1339		
263	Tacana	tree	arbol	acui	acui	a c u i		1339		
264	Cavinena	tree	arbol	acui	acui	a c u i		1339		
265	Ese_ejja	tree	arbol	acui	acui	a c u i		1339		
266	Matses	father	padre	papa	papa	p a p a	father	273		
267	Matis	father	padre	mama	mama	m a m a		364		!
268	Marubo	father	padre	papa	papa	p a p a		273		
269	Katukina	father	padre	papa	papa	p a p a		273		
270	Shipibo_Konibo	father	padre	papa	papa	p a p a		273		
271	Kapanawa	father	padre	papa	papa	p a p a		273		
272	Arara	father	padre	ɨpa	ɨpa	ɨ p a		360		
273	Shanenawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
274	Yawanawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
275	Poyanawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
276	Iskonawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
277	Chakobo	father	padre	papa	papa	p a p a		273		
278	Chakobo	father	padre	ɨpa	ɨpa	ɨ p a		360		
279	Pakawara	father	padre	ɨpa	ɨpa	ɨ p a		360		
280	Kakataibo	father	padre	papa	papa	p a p a		273		
281	Kaxarari	father	padre	ɨpa	ɨpa	ɨ p a		360		
282	Mastanawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
283	Chaninawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
284	Sharanawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
285	Amawaka	father	padre	ɨpa	ɨpa	ɨ p a		360		
286	Nawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
287	Marinawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
288	Marinawa	father	padre	iɸu	iɸu	i ɸ u		363		
289	Yaminawa	father	padre	ɨpa	ɨpa	ɨ p a		360		
290	Kashinawa_P	father	padre	ɨpa	ɨpa	ɨ p a		360		
291	Kashinawa_B	father	padre	ɨpa	ɨpa	ɨ p a		360		
292	Araona	father	padre	kuichapo	kuichapo	k u i tʃ a p o		362		
293	Araona	father	padre	tadi	tadi	t a d i		361		
294	Tacana	father	padre	tata	tata	t a t a		361		
295	Cavinena	father	padre	tata	tata	t a t a		361		
296	Ese_ejja	father	padre	chii caca	chii caca	tʃ iː # c a c a		365		
297	Matses	mother	madre	tita	tita	t i t a		750		
298	Matis	mother	madre	tita ani	tita ani	t i t a + a n i		750		
299	Marubo	mother	madre	ɨwa	ɨwa	ɨ w a		749		
300	Katukina	mother	madre	ewa	ewa	e w a		749		
301	Shipibo_Konibo	mother	madre	tita	tita	t i t a		750		
302	Kapanawa	mother	madre	mama	mama	m a m a		754		
303	Arara	mother	madre	ɨwa	ɨwa	ɨ w a		749		
304	Shanenawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
305	Yawanawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
306	Poyanawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
307	Iskonawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
308	Chakobo	mother	madre	ha?iwa	haʔiwa	h a ʔ i w a		749		
309	Pakawara	mother	madre	kai	kai	k a i		753		
310	Kakataibo	mother	madre	tita	tita	t i t a		750		
311	Kaxarari	mother	madre	ɨwa	ɨwa	ɨ w a		749		
312	Mastanawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
313	Chaninawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
314	Sharanawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
315	Amawaka	mother	madre	ɨwa	ɨwa	ɨ w a		749		
316	Nawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
317	Marinawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
318	Yaminawa	mother	madre	ɨwa	ɨwa	ɨ w a		749		
319	Kashinawa_P	mother	madre	ɨwa	ɨwa	ɨ w a		749		
320	Kashinawa_B	mother	madre	ɨwa	ɨwa	ɨ w a		749		
321	Araona	mother	madre	kala	kala	k a l a		757		
322	Araona	mother	madre	waepei	waepei	w a e p e i		751		
323	Tacana	mother	madre	cuara	cuara	c u a r a		740		
324	Cavinena	mother	madre	ecua	ecua	e c u a		740		
325	Ese_ejja	mother	madre	nae	nae	n a e		755		
326	Matses	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ	husband	634		
327	Matis	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
328	Marubo	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ	man	634		
329	Katukina	husband	esposo marido	βuni	βuni	β u n i		634		
330	Shipibo_Konibo	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634	2	see man
331	Kapanawa	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
332	Shanenawa	husband	esposo marido	ɸɨnɨ	ɸɨnɨ	ɸ ɨ n ɨ		634		
333	Yawanawa	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
334	Nukini	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
335	Poyanawa	husband	esposo marido	βɨdɨ	βɨdɨ	β ɨ d ɨ		634		
336	Iskonawa	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
337	Chakobo	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
338	Pakawara	husband	esposo marido	wɨnɨ	wɨnɨ	w ɨ n ɨ		634		
339	Kakataibo	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
340	Kaxarari	husband	esposo marido	wɨnɨ	wɨnɨ	w ɨ n ɨ		634		
341	Mastanawa	husband	esposo marido	ɨnhuɨdɨ	ɨnhuɨdɨ	ɨ n h u ɨ d ɨ		634		
342	Chaninawa	husband	esposo marido	dukuɸɨdɨ	dukuɸɨdɨ	d u k u ɸ ɨ d ɨ		634		
343	Chaninawa	husband	esposo marido	ɨwɨɸɨdɨ	ɨwɨɸɨdɨ	ɨ w ɨ ɸ ɨ d ɨ		634		
344	Sharanawa	husband	esposo marido	ɸɨdɨ	ɸɨdɨ	ɸ ɨ d ɨ		634		
345	Amawaka	husband	esposo marido	wɨndɨ	wɨndɨ	w ɨ n d ɨ		634		
346	Nawa	husband	esposo marido	ɸɨdɨ	ɸɨdɨ	ɸ ɨ d ɨ		634		
347	Marinawa	husband	esposo marido	ɸɨndi	ɸɨndi	ɸ ɨ n d i		634		
348	Yaminawa	husband	esposo marido	wɨdɨ	wɨdɨ	w ɨ d ɨ		634		
349	Kashinawa_P	husband	esposo marido	βɨni	βɨni	β ɨ n i		634		
350	Kashinawa_B	husband	esposo marido	βɨnɨ	βɨnɨ	β ɨ n ɨ		634		
351	Araona	husband	esposo marido	eawe	eawe	e a w e		635		
352	Tacana	husband	esposo marido	ebutse	ebutse	e b u ts e		635		
353	Cavinena	husband	esposo marido	eahue	eahue	e a h u e		635		
354	Ese_ejja	husband	esposo marido	eyahue	eyahue	e j a h u e		635		
355	Matses	wife	esposa	tʃido	tʃido	tʃ i d o	woman	1466		
356	Matis	wife	esposa	awin	awin	a w i n		1460		
357	Marubo	wife	esposa	ain	ain	a i n	woman	1460		
358	Katukina	wife	esposa	ain	ain	a i n		1460		
359	Shipibo_Konibo	wife	esposa	awin	awin	a w i n	wife	1460		
360	Kapanawa	wife	esposa	awin	awin	a w i n		1460		
361	Kapanawa	wife	esposa	ainβu	ainβu	a i n + β u	wife _bu	1460		
