ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	MORPHEMES	COGIDS	NOTES	AUTOCOGIDS
55	k a m ã -	261	dog	Kashinawa_B	kamã	perro	k a m ã	kamã	wild_dog			734
60	w i k ʈʂ u n	84	bird	Matses	wiktʂu	pajaro	w i k ʈʂ u n	wiktʂu	?			284
61	tʃ i d i d i ʃ	85	bird	Matis	tʃididiʃ	pajaro	tʃ i d i d i ʃ	tʃididiʃ	?			283
62	ʃ a i	16	bird	Marubo	ʃai	pajaro	ʃ a i	ʃai	?			281
63	- i s a - -	77	bird	Shipibo_Konibo	isa	pajaro	i s a	isa	passerine			281
64	- i s a - -	77	bird	Kapanawa	isa	pajaro	i s a	isa	passerine			281
65	d u + i nd a	78	bird	Arara	duĩda	pajaro	d u + i nd a	duĩda	thing domesticated			0
66	j u + i n a	78	bird	Shanenawa	juina	pajaro	j u + i n a	juina	thing domesticated		!	287
67	j u + i n a	78	bird	Yawanawa	juina	pajaro	j u + i n a	juina	thing domesticated		!	287
68	p ã r i	83	bird	Nukini	pãri	pajaro	p ã r i	pãri	?			285
69	p ɨ n + j a	76	bird	Poyanawa	puya	pajaro	p ɨ n + j a	puya	arm/wing _prop		!	278
70	p i ɾ i ʃ i k a	1557	bird	Iskonawa	piɾiʃika	pajaro	p i ɾ i ʃ i k a	piɾiʃika	?			280
71	- i s a k a	77	bird	Chakobo	isaka	pajaro	i s a k a	isaka	passerine			279
72	i s k u	82	bird	Pakawara	isku	pajaro	i s k u	isku	cacique_bird			286
73	ʔ i s a - -	77	bird	Kakataibo	ʔisa	pajaro	ʔ i s a	?isa	passerine			281
74	ʂ u i p i a t u	86	bird	Kaxarari	ʂuipiatu	pajaro	ʂ u i p i a t u	ʂuipiatu	?			282
75	p ɨ n + j a	76	bird	Mastanawa	pɨja	pajaro	p ɨ n + j a	pɨja	arm/wing _prop		!	278
76	p ɨ n + j a	76	bird	Chaninawa	pɨija	pajaro	p ɨ n + j a	pɨija	arm/wing _prop		!	278
77	p ɨ n + j a	76	bird	Sharanawa	pɨija	pajaro	p ɨ n + j a	pɨija	arm/wing _prop		!	278
78	ts i ts i p i u	79	bird	Sharanawa	t͡sit͡sipiu	pajaro	ts i ts i p i u	t͡sit͡sipiu	?			288
79	p ɨ n + j a	76	bird	Amawaka	pɨnja	pajaro	p ɨ n + j a	pɨnja	arm/wing _prop		!	278
80	p ɨ n + j a	76	bird	Nawa	pɨja	pajaro	p ɨ n + j a	pɨja	arm/wing _prop		!	278
81	p ɨ n + j a	76	bird	Marinawa	pɨ:ja	pajaro	p ɨ n + j a	pɨ:ja	arm/wing _prop		!	278
82	ts i ts i p i u	79	bird	Marinawa	tsi:tsipju	pajaro	ts i ts i p i u	tsi:tsipju	?			288
83	p ɨ n + j a	76	bird	Yaminawa	pɨja	pajaro	p ɨ n + j a	pɨja	arm/wing _prop		!	278
84	- i s a - -	77	bird	Kashinawa_P	isa	pajaro	i s a	isa	passerine			281
85	- i s a - -	77	bird	Kashinawa_B	isa	pajaro	i s a	isa	passerine			281
91	n i s i	1115	snake	Matses	nisi	culebra	n i s i	nisi	vine			3469
92	d u n u	1110	snake	Matis	dunu	culebra	d u n u	dunu	snake			3467
93	r u n u	1110	snake	Marubo	runu	culebra	r u n u	runu	snake			3467
94	r u n u	1110	snake	Katukina	runu	culebra	r u n u	runu	snake			3467
95	r u n u	1110	snake	Shipibo_Konibo	runu	culebra	r u n u	runu	snake			3467
96	r u n u	1110	snake	Kapanawa	runu	culebra	r u n u	runu	snake			3467
97	r u nd u	1110	snake	Arara	rundu	culebra	r u nd u	rundu	snake			0
98	r u n u	1110	snake	Shanenawa	runu	culebra	r u n u	runu	snake			3467
99	r u n u	1110	snake	Yawanawa	runu	culebra	r u n u	runu	snake			3467
100	β ĩ w ã	1114	snake	Nukini	βĩwã	culebra	β ĩ w ã	βĩwã	?			3470
101	i n ã h ã k a r a	1113	snake	Poyanawa	inãhãkara	culebra	i n ã h ã k a r a	inãhãkara	?			3471
102	r u nd u	1110	snake	Poyanawa	rũdu	culebra	r u nd u	rũdu	snake			3467
103	h ɨ a m i ts a	1116	snake	Iskonawa	hɨamiʦa	culebra	h ɨ a m i ts a	hɨamiʦa	snake/hɨamitsa			3468
104	n a s a β a i	1112	snake	Iskonawa	nasaβaj	culebra	n a s a β a i	nasasaβaj	?			3472
105	r u n u	1110	snake	Chakobo	runu	culebra	r u n u	runu	snake			3467
106	r u n u	1110	snake	Kakataibo	runu	culebra	r u n u	runu	snake			3467
107	tʃ u l u	1110	snake	Kaxarari	tʃulu	culebra	tʃ u l u	tʃulu	snake			3467
108	ɾ u d u	1110	snake	Mastanawa	ɾudu	culebra	ɾ u d u	ɾudu	snake			3467
109	ɾ u nd u	1110	snake	Chaninawa	ɾudu	culebra	ɾ u nd u	ɾudu	snake			3467
110	ɾ u d u	1110	snake	Sharanawa	ɾudu	culebra	ɾ u d u	ɾudu	snake			3467
111	ɾ u nd u	1110	snake	Amawaka	ɾundu	culebra	ɾ u nd u	ɾundu	snake			3467
112	ɾ u d u	1110	snake	Nawa	ɾudu	culebra	ɾ u d u	ɾudu	snake			3467
113	ɾ u nd u	1110	snake	Marinawa	ɾundu	culebra	ɾ u nd u	ɾundu	snake			3467
114	ɾ u d u	1110	snake	Yaminawa	ɾudu	culebra	ɾ u d u	ɾudu	snake			3467
115	d u n u	1110	snake	Kashinawa_P	dunu	culebra	d u n u	dunu	snake			3467
116	d u n u	1110	snake	Kashinawa_B	dunu	culebra	d u n u	dunu	snake			3467
121	n u ɨ + k i d	418	fish [noun]	Matses	nuɨkkid	pez pescado	n u ɨ + k i d	nuɨkkid	 _-:suffix/kid	 64		1257 1258
122	tʃ a p a	357	fish [noun]	Matis	tʃapa	pez pescado	tʃ a p a	tʃapa	fish/japa			1252
123	j a p a	357	fish [noun]	Marubo	japa	pez pescado	j a p a	japa	fish/japa			1252
124	ts a ts a	416	fish [noun]	Katukina	tsatsa	pez pescado	ts a ts a	tsatsa	boquichico			1254
125	j a p a	357	fish [noun]	Shipibo_Konibo	yapa	pez pescado	j a p a	yapa	fish/japa			1252
126	j a p a	357	fish [noun]	Kapanawa	yapa	pez pescado	j a p a	yapa	fish/japa			1252
127	j u mb a	412	fish [noun]	Arara	jumba	pez pescado	j u mb a	jumba	fish			0
128	i ʂ k i n	421	fish [noun]	Shanenawa	iʂkin	pez pescado	i ʂ k i n	iʂkin	delicious/iʂ  _kin		!	1261
129	j u m a	412	fish [noun]	Yawanawa	juma	pez pescado	j u m a	juma	fish/juma			1251
130	n a ʂ t u	419	fish [noun]	Nukini	naʂtu	pez pescado	n a ʂ t u	naʂtu	fish			1259
131	↓k/w a ↓w/k a	415	fish [noun]	Nukini	kawa	pez pescado	!k/w a !w/k a	kawa	river			1263
132	j u m ã	412	fish [noun]	Poyanawa	jumã	pez pescado	j u m ã	jumã	fish/juma			1251
133	j u m a	412	fish [noun]	Iskonawa	juma	pez pescado	j u m a	juma	fish/juma			1251
134	j a p a	357	fish [noun]	Chakobo	yapa	pez pescado	j a p a	yapa	fish/japa			1252
135	s a n i + n u	420	fish [noun]	Pakawara	saninu	pez pescado	s a n i + n u	saninu	fish/saninu			1260
136	ts a ts a	1627	fish [noun]	Kakataibo	tsatsa	pez pescado	ts a ts a	ɲapa	boquichico			1254
137	m a i l u	417	fish [noun]	Kaxarari	mailu	pez pescado	m a j l u	mailu	fish			1256
138	ʃ i m a	413	fish [noun]	Mastanawa	ʃima	pez pescado	ʃ i m a	ʃima	fish/ʃima			1253
139	ʃ i m a	413	fish [noun]	Chaninawa	ʃima	pez pescado	ʃ i m a	ʃima	fish/ʃima			1253
140	β a k a	415	fish [noun]	Chaninawa	βaka	pez pescado	β a k a	βaka	river			1255
141	ʃ i m a	413	fish [noun]	Sharanawa	ʃima	pez pescado	ʃ i m a	ʃima	fish/ʃima			1253
142	j u mb a	412	fish [noun]	Amawaka	jumba	pez pescado	j u mb a	jumba	fish/juma			1251
143	ʃ i m a	413	fish [noun]	Nawa	ʃima	pez pescado	ʃ i m a	ʃima	fish/ʃima			1253
144	ʃ i m a	413	fish [noun]	Marinawa	ʃima	pez pescado	ʃ i m a	ʃima	fish/ʃima			1253
145	h u w ɨ	422	fish [noun]	Yaminawa	huwɨ	pez pescado	h u w ɨ	huwɨ	fish/huwɨ			1262
146	β a k a	415	fish [noun]	Kashinawa_P	βaka	pez pescado	β a k a	βaka	river			1255
147	β a k a	415	fish [noun]	Kashinawa_B	βaka	pez pescado	β a k a	βaka	river			1255
152	m a t i ʃ	727	louse	Matses	matiʃ	piojo	m a t i ʃ	matiʃ	flea			2215
153	tʃ a	726	louse	Matis	tʃa	piojo	tʃ a	tʃa	louse			2214
154	- - j a	724	louse	Marubo	ja	piojo	j a	ja	louse			2211
155	- i - a	724	louse	Katukina	ia	piojo	i a	ia	louse			2212
156	- i - a	724	louse	Shipibo_Konibo	ia	piojo	i a	ia	louse			2212
157	- i - a	724	louse	Kapanawa	ia	piojo	i a	ia	louse			2212
158	- i - a	724	louse	Arara	ia	piojo	i a	ia	louse			0
159	- i - a	724	louse	Shanenawa	ia	piojo	i a	ia	louse			2212
160	- i - a	724	louse	Yawanawa	ia	piojo	i a	ia	louse			2212
161	- i - a	724	louse	Nukini	ia	piojo	i a	ia	louse			2212
162	- i - a	724	louse	Poyanawa	ia	piojo	i a	ia	louse			2212
163	- i - a	724	louse	Iskonawa	ia	piojo	i a	ia	louse			2212
164	- i - a	724	louse	Chakobo	ia	piojo	i a	ia	louse			2212
165	- i - a	724	louse	Pakawara	ia	piojo	i a	ia	louse			2212
166	ʔ i - a	724	louse	Kakataibo	ʔia	piojo	ʔ i a	?ia	louse			2213
167	- i j a	724	louse	Kaxarari	iya	piojo	i j a	iya	louse			2211
168	- i j a	724	louse	Mastanawa	ija	piojo	i j a	ija	louse			2211
169	- i j a	724	louse	Chaninawa	ija	piojo	i j a	ija	louse			2211
170	- i j a	724	louse	Sharanawa	i:a	piojo	i j a	i:a	louse			2212
171	- i j a	724	louse	Amawaka	inja	piojo	i j a	inja	louse			2211
172	- i j a	724	louse	Nawa	ija	piojo	i j a	ija	louse			2211
173	- i j a	724	louse	Marinawa	ija	piojo	i j a	ija	louse			2211
174	- i j a	724	louse	Yaminawa	ija	piojo	i j a	ija	louse			2211
175	- i - a	724	louse	Kashinawa_P	ia	piojo	i a	ia	louse			2212
176	- i - a	724	louse	Kashinawa_B	ia	piojo	i a	ia	louse			2212
181	n u - - e n	1519	worm (i.e. earthworm)	Matses	nuen	lombriz (gusano = grub)	n u e n	nuen	worm			4737
182	n u - - e n	1519	worm (i.e. earthworm)	Matis	nuen	lombriz (gusano = grub)	n u e n	nuen	worm			4737
183	n u - - i n	1519	worm (i.e. earthworm)	Marubo	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
184	n o - - i n	1519	worm (i.e. earthworm)	Katukina	noin	lombriz (gusano = grub)	n o i n	noin	worm			4737
185	n u - - i n	1519	worm (i.e. earthworm)	Shipibo_Konibo	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
186	n u - - i n	1519	worm (i.e. earthworm)	Kapanawa	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
187	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Arara	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			0
188	n u - - i n	1519	worm (i.e. earthworm)	Shanenawa	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
189	n u - w ĩ -	1519	worm (i.e. earthworm)	Yawanawa	nuwĩ	lombriz (gusano = grub)	n u w ĩ	nuwĩ	worm			4737
190	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Nukini	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
191	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Poyanawa	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
192	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Iskonawa	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
193	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Chakobo	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
194	n u - - i n	1519	worm (i.e. earthworm)	Pakawara	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
195	n u - - i n	1519	worm (i.e. earthworm)	Kakataibo	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
196	n u - - !l/i !i/l	1519	worm (i.e. earthworm)	Kaxarari	nuli	lombriz (gusano = grub)	n u !l/i !i/l	nuli	worm		? isn't this multi-morphemic?	4737
197	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Mastanawa	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
198	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Chaninawa	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
199	n ũ - - ĩ -	1519	worm (i.e. earthworm)	Sharanawa	nũĩ	lombriz (gusano = grub)	n ũ ĩ	nũĩ	worm			4737
200	n u ʔ - i n	1519	worm (i.e. earthworm)	Amawaka	nuʔin	lombriz (gusano = grub)	n u ʔ i n	nuʔin	worm			4737
201	n u - w i -	1519	worm (i.e. earthworm)	Nawa	nuwi	lombriz (gusano = grub)	n u w i	nuwi	worm			4737
202	!u/n !n/u - w ɨ -	1519	worm (i.e. earthworm)	Marinawa	unwɨ	lombriz (gusano = grub)	!u/n !n/u w ɨ	unwɨ	worm	32	? can this be a spelling error? 	4737
203	n ũ - m i -	1519	worm (i.e. earthworm)	Yaminawa	nũmi	lombriz (gusano = grub)	n ũ m i	nũmi	worm			4737
204	n u - - i n	1519	worm (i.e. earthworm)	Kashinawa_P	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
205	n u - - i n	1519	worm (i.e. earthworm)	Kashinawa_B	nuin	lombriz (gusano = grub)	n u i n	nuin	worm			4737
212	- w a s i n	508	grass	Matses	wasin	hierba	w a s i n	wasin	grass/wasi			1492
213	- w e s i n	508	grass	Matis	wesin	hierba	w e s i n	wesin	grass/wasi			1492
214	- w a s i -	508	grass	Marubo	wasi	hierba	w a s i	wasi	grass/wasi			1492
215	- w a s i -	508	grass	Shipibo_Konibo	wasi	hierba	w a s i	wasi	grass/wasi			1492
216	- w a s i -	508	grass	Kapanawa	wasi	hierba	w a s i	wasi	grass/wasi			1492
217	- w a s i -	508	grass	Shanenawa	wasi	hierba	w a s i	wasi	grass/wasi			1492
218	- w ã s i -	508	grass	Iskonawa	wãsi	hierba	w ã s i	wãsi	grass/wasi			1492
219	- w a s i -	508	grass	Chakobo	wasi	hierba	w a s i	wasi	grass/wasi			1492
220	ts i k i	510	grass	Pakawara	tsiki	hierba	ts i k i	tsiki	grass/tʃaka			1495
221	ʂ u β i	512	grass	Kakataibo	ʂuβi	hierba	ʂ u β i	ʂuβi	grass/ʂuβi			1493
222	- w a s a -	508	grass	Kaxarari	wasai	hierba	w a s a	wasai	grass/wasi			1492
223	ɸ - a s i -	508	grass	Mastanawa	ɸasi	hierba	ɸ a s i	ɸasi	grass/wasi			1492
224	ɸ - a s i -	508	grass	Chaninawa	ɸasi	hierba	ɸ a s i	ɸasi	grass/wasi			1492
225	ɸ - a s i -	508	grass	Sharanawa	ɸasi	hierba	ɸ a s i	ɸasi	grass/wasi			1492
226	- w a s i -	508	grass	Amawaka	wasi	hierba	w a s i	wasi	grass/wasi			1492
227	ɸ - a s i -	508	grass	Nawa	ɸasi	hierba	ɸ a s i	ɸasi	grass/wasi			1492
228	tʃ a k a	511	grass	Marinawa	ʧaka	hierba	tʃ a k a	ʧaka	grass/tʃaka			1494
229	ɸ - a s i -	508	grass	Yaminawa	ɸasi	hierba	ɸ a s i	ɸasi	grass/wasi			1492
230	- - a s i -	508	grass	Kashinawa_P	asi	hierba	a s i	asi	grass/wasi			1492
235	k u ɨ t e	1341	tree	Matses	kuɨte	arbol	kʷ ɨ t e	kuɨte	fire/firewood	49		4164
236	- i w i	423	tree	Matis	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
237	- i w i	423	tree	Marubo	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
238	h i w i	423	tree	Katukina	hiwi	arbol	h i w i	hiwi	tree/wood	69 68		4159
239	h i w i	423	tree	Kanamari	hiwi	arbol	h i w i	hiwi	tree/wood	69 68	? any chance to find words for bark, skin, and forest in Kanamari?	4159
240	h i w i	423	tree	Shipibo_Konibo	hiwi	arbol	h i w i	hiwi	tree/wood	69 68		4159
241	h i w i	423	tree	Kapanawa	hiwi	arbol	h i w i	hiwi	tree/wood	69 68		4159
242	- i w i	423	tree	Arara	iwi	arbol	i w i	iwi	tree _bi	69		0
243	- i w i	423	tree	Shanenawa	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
244	- i w i	423	tree	Yawanawa	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
245	- i w i	423	tree	Nukini	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
246	- i w i	423	tree	Poyanawa	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
247	- i β i	423	tree	Iskonawa	iβi	arbol	i β i	iβi	tree/wood	69 68	? maybe wrong transcription, can it be that iBi and iwi are just the same? Compare skin and tree in Iskonowa	4161
248	h i w i	423	tree	Chakobo	hiwi	arbol	h i w i	hiwi	tree/wood	69		4159
249	h i w i	423	tree	Pakawara	hiwi	arbol	h i w i	hiwi	tree/wood	53		4159
250	- i - -	423	tree	Kakataibo	i	arbol	i	i	tree/wood	69		4161
251	h i w i	423	tree	Kaxarari	hiwi	arbol	h i w i	hiwi	tree/wood	69 68		4159
252	d i	1338	tree	Mastanawa	di	arbol	d i	di	forest	50		4160
253	d iː	1338	tree	Chaninawa	di:	arbol	d iː	di:	forest	50		4160
254	- i w i	423	tree	Sharanawa	iwi	arbol	i w i	iwi	tree/wood	69 68		4159
255	h iː - -	423	tree	Amawaka	wimbi	arbol	h iː	wimbi	tree/wood	62		4159
256	d iː	1338	tree	Nawa	di:	arbol	d iː	di:	forest	50		4160
257	d i	1338	tree	Marinawa	di	arbol	d i	di	forest	50		4160
258	- i β i	423	tree	Yaminawa	ibi	arbol	i β i	ibi	tree/wood	69 68		4161
259	h i - -	423	tree	Kashinawa_P	hi	arbol	h i	hi	tree/wood	69		4159
260	n i	1338	tree	Kashinawa_P	ni	arbol	n i	ni	forest	38		4163
261	n i	1338	tree	Kashinawa_B	ni	arbol	n i	ni	forest	38		4163
266	p a p a	273	father	Matses	papa	padre	p a p a	papa	father			1064
267	m a m a	364	father	Matis	mama	padre	m a m a	mama	large		!	1065
268	p a p a	273	father	Marubo	papa	padre	p a p a	papa	father			1064
269	p a p a	273	father	Katukina	papa	padre	p a p a	papa	father			1064
270	p a p a	273	father	Shipibo_Konibo	papa	padre	p a p a	papa	father			1064
271	p a p a	273	father	Kapanawa	papa	padre	p a p a	papa	father			1064
272	ɨ p a	360	father	Arara	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father			0
273	ɨ p a	360	father	Shanenawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
274	ɨ p a	360	father	Yawanawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
275	ɨ p a	360	father	Poyanawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
276	ɨ p a	360	father	Iskonawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
277	p a p a	273	father	Chakobo	papa	padre	p a p a	papa	father			1064
278	ɨ p a	360	father	Chakobo	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
279	ɨ p a	360	father	Pakawara	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
280	p a p a	273	father	Kakataibo	papa	padre	p a p a	papa	father			1064
281	ɨ p a	360	father	Kaxarari	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
282	ɨ p a	360	father	Mastanawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
283	ɨ p a	360	father	Chaninawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
284	ɨ p a	360	father	Sharanawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
285	ɨ p a	360	father	Amawaka	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
286	ɨ p a	360	father	Nawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
287	ɨ p a	360	father	Marinawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
288	i ɸ u	363	father	Marinawa	iɸu	padre	i ɸ u	iɸu	owner			1066
289	ɨ p a	360	father	Yaminawa	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
290	ɨ p a	360	father	Kashinawa_P	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
291	ɨ p a	360	father	Kashinawa_B	ɨpa	padre	ɨ p a	ɨpa	ɨ_ father		!	1063
297	t i t a - - - -	750	mother	Matses	tita	madre	t i t a	tita	mother/tita			2321
298	t i t a + a n i	750	mother	Matis	tita ani	madre	t i t a + a n i	tita ani	mother/tita big			2321 2323
299	ɨ w a	749	mother	Marubo	ɨwa	madre	ɨ w a	ɨwa	ɨ_ mother		!	2320
300	ɨ w a	749	mother	Katukina	ɨwa	madre	ɨ w a	ewa	ɨ_ mother		!	2320
301	t i t a - - - -	750	mother	Shipibo_Konibo	tita	madre	t i t a	tita	mother/tita			2321
302	m a m a	754	mother	Kapanawa	mama	madre	m a m a	mama	mother/mama			2322
303	ɨ w a	749	mother	Arara	ɨwa	madre	ɨ w a	ɨwa	ɨ_ mother			0
304	ɨ w a	749	mother	Shanenawa	ɨwa	madre	ɨ w a	ɨwa	ɨ_ mother		!	2320
305	ɨ w a	749	mother	Yawanawa	ɨwa	madre	ɨ w a	ɨwa	ɨ_ mother		!	2320
306	ɨ w a	749	mother	Poyanawa	ɨwa	madre	ɨ w a	ɨwa	ɨ_ mother		!	2320
307	ɨ w a	749	mother	Iskonawa	ɨwa	madre	ɨ w a	ɨwa	ɨ_ mother		!	2320
308	i w a	749	mother	Chakobo	haʔiwa	madre	i w a	ha?iwa	ɨ_ mother		!	2320
309	k a i	753	mother	Pakawara	kai	madre	k a j	kai	mother/kai			2324
310	t i t a - - - -	750	mother	Kakataibo	tita	madre	t i t a	tita	mother/tita			2321
