ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID
23	Araona	animal	tsajakata	tsajakata	ts a j a + k a t a		25
24	Araona	animal	sichaikana	sichaikana	s i tʃ a i + k a n a		18
25	Araona	animal	tenaikana	tenaikana	t e n a i + k a n a		18
26	Araona	animal	waenikana	waenikana	w a e n i k a n a		18
1274	Matses	ashes	isisapuk	isisapuk	i s i s + a + p u k		26
1275	Matis	ashes	tsismapuk	tsismapuk	ts i s + m a + p u k		26
1276	Marubo	ashes	miʃpu	miʃpu	m i ʃ + p u		26
1277	Shipibo_Konibo	ashes	tʃi mapu	tʃi mapu	tʃ i + m a + p u		26
1278	Kapanawa	ashes	tʃi mapu	tʃi mapu	tʃ i + m a + p u		26
1279	Shanenawa	ashes	mapu	mapu	m a + p u		26
1280	Iskonawa	ashes	hɨna mapu	hɨna mapu	h ɨ n a + m a + p u		26
1281	Chakobo	ashes	tʃi?imiʃpu	tʃiʔimiʃpu	tʃ i ʔ i + m i ʃ + p u		26
1282	Pakawara	ashes	miʃpu	miʃpu	m i ʃ + p u		26
1283	Kakataibo	ashes	tʃimapo	tʃimapo	tʃ i + m a + p o		26
1284	Kaxarari	ashes	mapuu	mapuu	m a + p uː		26
1285	Mastanawa	ashes	bapu	bapu	b a + p u		26
1286	Chaninawa	ashes	βapu	βapu	β a + p u		26
1287	Sharanawa	ashes	t͡ʃibapu	t͡ʃibapu	tʃ i + b a + p u		26
1288	Amawaka	ashes	kuɾu	kuɾu	k u + ɾ u		28
1289	Nawa	ashes	bapu	bapu	b a + p u		26
1290	Marinawa	ashes	bapu	bapu	b a + p u		26
1291	Yaminawa	ashes	bapu	bapu	b a + p u		26
1292	Kashinawa_P	ashes	mapu	mapu	m a + p u		26
1293	Kashinawa_B	ashes	tʃimapu	tʃimapu	tʃ i + m a + p u		26
1294	Araona	ashes	timo	timo	t i + m o		27
729	Matses	back [of body]	katʂo	katʂo	k a + ʈʂ o		32
730	Matis	back [of body]	kaʂuku	kaʂuku	k a + ʂ u k u		32
731	Marubo	back [of body]	kaʂu	kaʂu	k a + ʂ u		32
732	Katukina	back [of body]	pimana	pimana	p i + m a n a		30
733	Kanamari	back [of body]	kaʃo	kaʃo	k a + ʃ o		32
734	Shipibo_Konibo	back [of body]	pɨka	pɨka	p ɨ + k a		30
735	Kapanawa	back [of body]	pɨka	pɨka	p ɨ + k a		30
736	Shanenawa	back [of body]	pustʃi	pɨstʃi	p ɨ + s tʃ i		30
737	Nukini	back [of body]	puʃi	pɨʃi	p ɨ + tʃ i		30
738	Poyanawa	back [of body]	pɨti	pɨti	p ɨ + t i		30
739	Iskonawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i		30
740	Iskonawa	back [of body]	katɨ	katɨ	k a + t ɨ		32
741	Chakobo	back [of body]	katɨ	katɨ	k a + t ɨ		32
742	Kakataibo	back [of body]	kaʂo	kaʂo	k a + ʂ o		32
743	Kaxarari	back [of body]	katapu	katapu	k a + t a p u		32
744	Mastanawa	back [of body]	piʧi	piʧi	p i + tʃ i		30
745	Chaninawa	back [of body]	pɨʂaβati	pɨʂaβati	p ɨ + ʂ a β a t i		30
746	Sharanawa	back [of body]	pɨmiti	pɨmiti	p ɨ + m i t i		30
747	Amawaka	back [of body]	katɨ	katɨ	k a + t ɨ		32
748	Nawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i		30
749	Marinawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i		30
750	Yaminawa	back [of body]	piʧi	pɨʧi	p ɨ + tʃ i		30
751	Kashinawa_P	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i		30
752	Araona	back [of body]	bebakʷa	bebakʷa	b e b a kʷ a		31
753	Araona	back [of body]	besese	besese	b e s e s e		31
3803	Matses	bad	iksa	iksa	i k s a		1550
3804	Matis	bad	iksama	iksama	i k s a + m a		1550
3805	Marubo	bad	iʃna	iʃna	i ʃ n a		46
3806	Shipibo_Konibo	bad	hakun-ma	hakunma	h a k u n + m a		41
3807	Kapanawa	bad	tiruma	iruma	i r u + m a		33
3808	Kapanawa	bad	hakunma	hakunma	h a k u n + m a		41
3809	Shanenawa	bad	ʂarama	ʃarama	ʃ a r a + m a		37
3810	Yawanawa	bad	tʃaka	tʃaka	tʃ a k a		38
3811	Nukini	bad	iruma	iruma	i r u + m a		33
3812	Poyanawa	bad	irumba	irumba	i r u + ⁿb a		33
3813	Iskonawa	bad	miʧa	miʧa	m i tʃ a		1551
3814	Iskonawa	bad	iruma	iruma	i r u + m a		33
3815	Chakobo	bad	kaʂaʂɨni	kaʂaʂɨni	k a ʂ a ʂ ɨ n i		43
3816	Kakataibo	bad	aisama	aisama	a i + s a + m a		39
3817	Kaxarari	bad	tsɨwɨma	tsɨwɨma	ts ɨ w ɨ + m a		35
3818	Mastanawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a		38
3819	Chaninawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a		38
3820	Sharanawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a		38
3821	Amawaka	bad	iɾuma	iɾuma	i ɾ u + m a		33
3822	Nawa	bad	ʧaka	ʧaka	tʃ a k a		38
3823	Marinawa	bad	ʧaka	ʧaka	tʃ a k a		38
3824	Yaminawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a		38
3825	Kashinawa_P	bad	ʧakaβu	ʧakaβu	tʃ a k a + β u		38
3826	Kashinawa_B	bad	tʃakaβu	tʃakaβu	tʃ a k a + β u		38
3827	Araona	bad	shili 'ser malo'	shili 'ser malo'	ʃ i l i + s e r + m a l o ʔ		44
3828	Araona	bad	masawe	masawe	m a s a w e		45
1227	Matses	bark [of tree]	βitsi	βitsi	β i ts i		49
1228	Matis	bark [of tree]	βidtsi	βidtsi	β i ts i		49
1229	Marubo	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1230	Shipibo_Konibo	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1231	Shipibo_Konibo	bark [of tree]	βitʃi	βitʃi	β i tʃ i		49
1232	Kapanawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1233	Shanenawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1234	Nukini	bark [of tree]	haka	haka	h a k a		48
1235	Poyanawa	bark [of tree]	haka	haka	h a k a		48
1236	Iskonawa	bark [of tree]	βiʧi	βiʧi	β i tʃ i		49
1237	Iskonawa	bark [of tree]	haka	haka	h a k a		48
1238	Chakobo	bark [of tree]	ʂakata	ʂakata	ʂ a k a t a		48
1239	Chakobo	bark [of tree]	βitʃi	βitʃi	β i tʃ i		49
1240	Kakataibo	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1241	Mastanawa	bark [of tree]	hɨpu	hɨpu	h ɨ p u		51
1242	Chaninawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1243	Sharanawa	bark [of tree]	pɨɸit͡ʃi	pɨɸit͡ʃi	p ɨ + ɸ i tʃ i		1552
1244	Amawaka	bark [of tree]	çaka	çaka	ç a k a		48
1245	Nawa	bark [of tree]	diditi	diditi	d i d i + t i		50
1246	Marinawa	bark [of tree]	pɨsi	pɨsi	p ɨ s i		52
1247	Yaminawa	bark [of tree]	ɸiʧi	ɸiʧi	ɸ i tʃ i		49
1248	Kashinawa_P	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1249	Kashinawa_B	bark [of tree]	ʂaka	ʂaka	ʂ a k a		48
1250	Araona	bark [of tree]	biki	biki	b i k i		49
702	Matses	belly	puku	puku	p u k u		54
703	Matis	belly	puku	puku	p u k u		54
704	Marubo	belly	pustu	pustu	p u s t u		1553
705	Katukina	belly	pustu	pustu	p u s t u		1553
706	Kanamari	belly	posto	posto	p o s t o		1553
707	Shipibo_Konibo	belly	puku	puku	p u k u		54
708	Kapanawa	belly	puku	puku	p u k u		54
709	Shanenawa	belly	pustu	pustu	p u s t u		1553
710	Yawanawa	belly	pustu	pustu	p u s t u		1553
711	Nukini	belly	naβa	naβa	n a β a		55
712	Nukini	belly	puhtu	puhtu	p u h t u		1553
713	Poyanawa	belly	dahβa	dahβa	d a h β a		55
714	Iskonawa	belly	nahβa	nahβa	n a h β a		55
715	Chakobo	belly	takɨpɨ	takɨpɨ	t a k ɨ p ɨ		58
716	Pakawara	belly	puku	puku	p u k u		54
717	Kakataibo	belly	puku	puku	p u k u		54
718	Kaxarari	belly	turu	turu	t u r u		60
719	Mastanawa	belly	ʂaʔi	ʂaʔi	ʂ a ʔ i		61
720	Chaninawa	belly	pusto	pusto	p u s t u		1553
721	Sharanawa	belly	namɨn	namɨn	n a m ɨ n		62
722	Amawaka	belly	puku	puku	p u k u		54
723	Nawa	belly	atu	atu	a t u		1554
724	Marinawa	belly	pustu	pustu	p u s t u		1553
725	Yaminawa	belly	pustu	pustu	p u s t u		1553
726	Kashinawa_P	belly	pustu	pustu	p u s t u		1553
727	Kashinawa_B	belly	pustu	pustu	p u s t u		1553
728	Araona	belly	ese	ese	e s e		56
3957	Matses	big	nua	nua	n u a		66
3958	Matis	big	noa	noa	n o a		66
3959	Marubo	big	ani	ani	a n i		64
3960	Katukina	big	ani-pa	anipa	a n i p a		64
3961	Shipibo_Konibo	big	ani	ani	a n i		64
3962	Kapanawa	big	ani	ani	a n i		64
3963	Shanenawa	big	ɨwapa	ɨwapa	ɨ w a p a		63
3964	Yawanawa	big	iwapa	iwapa	i w a p a		63
3965	Nukini	big	rɨpa	rɨpa	r ɨ p a		1555
3966	Poyanawa	big	hukumba	hukumba	h u k u m b a		70
3967	Iskonawa	big	mihira	mihira	m i h i r a		73
3968	Chakobo	big	tʃa?ita	tʃaʔita	tʃ a ʔ i t a		67
3969	Kakataibo	big	tʃa	tʃa	tʃ a		72
3970	Kaxarari	big	laki	laki	l a k i		71
3971	Mastanawa	big	ɨwapa	ɨwapa	ɨ w a p a		63
3972	Chaninawa	big	iwapa	iwapa	i w a p a		63
3973	Sharanawa	big	ɨwapa	ɨwapa	ɨ w a p a		63
3974	Amawaka	big	tuʔa	tuʔa	t u ʔ a		67
3975	Nawa	big	ɨwapa	ɨwapa	ɨ w a p a		63
3976	Marinawa	big	ɨwapa	ɨwapa	ɨ w a p a		63
3977	Yaminawa	big	ɨwapa	ɨwapa	ɨ w a p a		63
3978	Kashinawa_P	big	ɨwapa	ɨwapa	ɨ w a p a		63
3979	Kashinawa_B	big	iwapa	iwapa	i w a p a		63
3980	Araona	big	ajalili	ajalili	a j a l i l i		65
3981	Araona	big	iyo	iyo	i j o		69
3982	Araona	big	kuichakata	kuichakata	k u i tʃ a k a t a		68
51	Matses	bird	wiktʂu	wiktʂu	w i k ʈʂ u n		84
52	Matis	bird	tʃididiʃ	tʃididiʃ	tʃ i d i d i ʃ		85
53	Marubo	bird	ʃai	ʃai	ʃ a i		77
54	Shipibo_Konibo	bird	isa	isa	i s a		77
55	Kapanawa	bird	isa	isa	i s a		77
56	Shanenawa	bird	juina	juina	j u i n a		78
57	Yawanawa	bird	juina	juina	j u i n a		78
58	Nukini	bird	pãri	pãri	p ã r i		83
59	Poyanawa	bird	puya	puya	p ɨ n j a		76
60	Iskonawa	bird	piɾiʃika	piɾiʃika	p i ɾ i + ʃ i k a		1557
61	Chakobo	bird	isaka	isaka	i s a + k a		77
62	Pakawara	bird	isku	isku	i s k u		82
63	Kakataibo	bird	?isa	ʔisa	ʔ i s a		77
64	Kaxarari	bird	ʂuipiatu	ʂuipiatu	ʂ u i + p i a t u		86
65	Mastanawa	bird	pɨja	pɨja	p ɨ n j a		76
66	Chaninawa	bird	pɨija	pɨija	p ɨ n j a		76
67	Sharanawa	bird	pɨija	pɨija	p ɨ n j a		76
68	Sharanawa	bird	t͡sit͡sipiu	t͡sit͡sipiu	ts i ts i p i/j u		79
69	Amawaka	bird	pɨnja	pɨnja	p ɨ n j a		76
70	Nawa	bird	pɨja	pɨja	p ɨ n j a		76
71	Marinawa	bird	pɨ:ja	pɨ:ja	p ɨ n j a		76
72	Marinawa	bird	tsi:tsipju	tsi:tsipju	ts iː ts i p j u		79
73	Yaminawa	bird	pɨja	pɨja	p ɨ n j a		76
74	Kashinawa_P	bird	isa	isa	i s a		77
75	Kashinawa_B	bird	isa	isa	i s a		77
76	Araona	bird	boni	boni	b o n i		1556
2880	Matses	bite	pe	pe	p e		93
2881	Matis	bite	pe	pe	p e		93
2882	Marubo	bite	naʃa	naʂa	n a ʂ a		1559
2883	Katukina	bite	naxa	naʂa	n a ʂ a		90
2884	Shipibo_Konibo	bite	natɨʂ	natɨʂ	n a t ɨ ʂ		92
2885	Kapanawa	bite	natɨʂ	natɨʂ	n a t ɨ ʂ		92
2886	Shanenawa	bite	naka	naka	n a k a		90
2887	Yawanawa	bite	naka	naka	n a k a		90
2888	Poyanawa	bite	daça	daça	d a ç a		91
2889	Iskonawa	bite	kiwi	kiwi	k i w i		89
2890	Chakobo	bite	tɨʂa	tɨʂa	t ɨ ʂ a		1558
2891	Kakataibo	bite	natɨʂ	natɨʂ	n a t ɨ ʂ		92
2892	Kaxarari	bite	ʃɨla	ʃɨla	ʃ ɨ l a		96
2893	Mastanawa	bite	ʂatɨa	ʂatɨ	ʂ a t ɨ		97
2894	Mastanawa	bite	kɨju	kɨju	k ɨ j u		89
2895	Chaninawa	bite	kɨjuj	kɨju	k ɨ j u		89
2896	Sharanawa	bite	kɨjuwi	kɨju	k ɨ j u		89
2897	Amawaka	bite	naʔtɨçɨ	natɨçɨ	n a t ɨ ç ɨ		92
2898	Nawa	bite	kɨjuɸi	kɨju	k ɨ j u		89
2899	Marinawa	bite	kɨju	kɨju	k ɨ j u		89
2900	Yaminawa	bite	kɨjuwi	kɨju	k ɨ j u		89
2901	Kashinawa_P	bite	kɨjwa	kɨju	k ɨ j u		89
2902	Kashinawa_B	bite	kɨjuwi	kɨju	k ɨ j u		89
2903	Araona	bite	lao	lao	l a o		91
2904	Araona	bite	c̷oi	c̷oi	tʃ o i		1560
3601	Matses	black	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ		99
3602	Matis	black	wisu	wisu	w i s u		98
3603	Marubo	black	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ		99
3604	Marubo	black	isu	isu	i s u		98
3605	Katukina	black	txeshe	txeshe	tx/ʈʂ e ʃ e		99
3606	Shipibo_Konibo	black	wisu	wisu	w i s u		98
3607	Kapanawa	black	wisu	wisu	w i s u		98
3608	Shanenawa	black	tuʂu	tɨʂɨ	t ɨ ʂ ɨ		1563
3609	Yawanawa	black	tʃɨhʃɨ	tʃɨhʃɨ	tʃ ɨ h ʃ ɨ		99
3610	Nukini	black	βisu	βisu	β i s u		98
3611	Poyanawa	black	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ		99
3612	Iskonawa	black	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ		99
3613	Chakobo	black	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ		1562
3614	Pakawara	black	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ		1562
3615	Kakataibo	black	tunan	tunan	t u n a n		102
3616	Kaxarari	black	tʃɨʂɨ	tʃɨʂɨ	tʃ ɨ ʂ ɨ		99
3617	Mastanawa	black	ɸɨsu(pa)	ɸɨsu	ɸ ɨ s u		98
3618	Chaninawa	black	ɸisu	ɸisu	ɸ i s u		98
3619	Sharanawa	black	ɸisu	ɸisu	ɸ i s u		98
3620	Amawaka	black	t͡ʃaʔu	t͡ʃaʔu	tʃ a ʔ u		103
3621	Nawa	black	ɸisu	ɸisu	ɸ i s u		98
3622	Marinawa	black	ɸisu	ɸisu	ɸ i s u		98
3623	Marinawa	black	ʧɨʂɨ	ʧɨʂɨ	tʃ ɨ ʂ ɨ		99
3624	Yaminawa	black	ɸɨsu	ɸɨsu	ɸ ɨ s u		98
3625	Kashinawa_P	black	mɨʂu	mɨʂu	m ɨ ʂ u		1561
3626	Kashinawa_B	black	mɨʂupa	mɨʂupa	m ɨ ʂ u p a		1561
3627	Araona	black	sewa	sewa	s e w a		100
1077	Matses	blood	intak	intak	i n + t a k		105
1078	Matis	blood	imi	imi	i m i		106
1079	Marubo	blood	imi	imi	i m i		106
1080	Katukina	blood	himi	himi	h i m i		106
1081	Shipibo_Konibo	blood	himi	himi	h i m i		106
1082	Kapanawa	blood	himi	himi	h i m i		106
1083	Shanenawa	blood	imi	imi	i m i		106
1084	Yawanawa	blood	imi	imi	i m i		106
1085	Nukini	blood	imĩ	imĩ	i m ĩ		106
1086	Poyanawa	blood	imbi	imbi	i m b i		106
1087	Iskonawa	blood	imi	imi	i m i		106
1088	Chakobo	blood	himi	himi	h i m i		106
1089	Pakawara	blood	himi	himi	h i m i		106
1090	Kakataibo	blood	imi	imi	i m i		106
1091	Kaxarari	blood	himi	himi	h i m i		106
1092	Mastanawa	blood	ibi	ibi	i b i		106
1093	Chaninawa	blood	ibi	ibi	i b i		106
1094	Sharanawa	blood	ibi	ibi	i b i		106
1095	Amawaka	blood	himbi	himbi	h i m b i		106
1096	Nawa	blood	ibi	ibi	i b i		106
1097	Marinawa	blood	inbi	inbi	i n b i		106
1098	Yaminawa	blood	ibi	ibi	i b i		106
1099	Kashinawa_P	blood	himi	himi	h i m i		106
1100	Kashinawa_B	blood	himi	himi	h i m i		106
1101	Araona	blood	ami	ami	a m i		106
2274	Matses	blow [wind]	kunke	kunke	k u n + k e		1565
2275	Matis	blow [wind]	kunke	kunke	k u n + k e		1565
2276	Marubo	blow [wind]	ʂuβi iki	ʂuβi iki	ʂ u β i + i k i		112
2277	Shipibo_Konibo	blow [wind]	ʂu	ʂu	ʂ u		111
2278	Kapanawa	blow [wind]	ʂuanki	ʂuanki	ʂ u a n + k i		111
2279	Shanenawa	blow [wind]	ʂuan	ʂuan	ʂ u a n		111
2280	Yawanawa	blow [wind]	sui	sui	s u i		111
2281	Poyanawa	blow [wind]	hun	hun	h u n		111
2282	Iskonawa	blow [wind]	hun hun ik	hun hun ik	h u n + h u n + i k		111
2283	Iskonawa	blow [wind]	puyu puyu ik	puyu puyu ik	p u j u + p u j u + i k		115
2284	Chakobo	blow [wind]	ʂu?a	ʂuʔa	ʂ u ʔ a		111
2285	Kakataibo	blow [wind]	ʂunka	ʂunka	ʂ u n k a		111
2286	Kaxarari	blow [wind]	kuha	kuha	k u h a		1564
2287	Mastanawa	blow [wind]	ʂunaj	ʂunaj	ʂ u n a j		111
2288	Chaninawa	blow [wind]	ʂũnwaki	ʂũwankin	ʂ ũ w a n k i		111
2289	Sharanawa	blow [wind]	ʂũnwaki	ʂũnwaki	ʂ ũ n w a k i		111
2290	Amawaka	blow [wind]	çunki	çunki	ç u n k i		111
2291	Nawa	blow [wind]	ʂuanki	ʂuanki	ʂ u a n k i		111
2292	Marinawa	blow [wind]	ʂunwaki	ʂunwaki	ʂ u n w a k i		111
2293	Yaminawa	blow [wind]	ʃuwaʔi	ʃuwaʔi	ʃ u w a ʔ i		111
2294	Kashinawa_P	blow [wind]	ʂuanka	ʂuanka	ʂ u a n k a		111
2295	Kashinawa_B	blow [wind]	ʂuwaki	ʂuwaki	ʂ u w a k i		111
2296	Araona	blow [wind]	wo	wo	w o		108
2297	Araona	blow [wind]	lepe	lepe	l e p e		114
1007	Matses	bone	kanite	kanite	k a + n i t e		121
1008	Matis	bone	wiʃpo	wiʃpo	w i ʃ p o		122
1009	Marubo	bone	ʂau	ʂau	ʂ a u		125
1010	Katukina	bone	xau	xau	x/ʂ a u		125
1011	Shipibo_Konibo	bone	ʂau	ʂau	ʂ a u		125
1012	Kapanawa	bone	ʂaw	ʂaw	ʂ a w		125
1013	Shanenawa	bone	ʂaw	ʂaw	ʂ a w		125
1014	Yawanawa	bone	ʂau	ʂau	ʂ a u		125
1015	Nukini	bone	hau	hau	h a u		125
1016	Poyanawa	bone	haw	haw	h a w		125
1017	Iskonawa	bone	haw	haw	h a w		125
1018	Chakobo	bone	ʂau	ʂau	ʂ a u		125
1019	Pakawara	bone	ʂau	ʂau	ʂ a u		125
1020	Kakataibo	bone	ʂo	ʂo	ʂ o		125
1021	Kaxarari	bone	ʂahu	ʂahu	ʂ a h u		125
1022	Mastanawa	bone	ʂaw	ʂaw	ʂ a w		125
1023	Chaninawa	bone	ʂau	ʂau	ʂ a u		125
1024	Sharanawa	bone	ʂau	ʂau	ʂ a u		125
1025	Amawaka	bone	çaw	çaw	ç a w		125
1026	Nawa	bone	ʂaw	ʂaw	ʂ a w		125
1027	Marinawa	bone	ʂaw	ʂaw	ʂ a w		125
1028	Yaminawa	bone	ʂaw	ʂaw	ʂ a w		125
1029	Kashinawa_P	bone	ʂaw	ʂaw	ʂ a w		125
1030	Kashinawa_B	bone	ʂau	ʂau	ʂ a u		125
1031	Araona	bone	e-c̷oa	ec̷oa	e tʃ o a		125
3308	Matses	breathe	tiβoke	tiβoke	t i β o k e		136
3309	Matis	breathe	ʂakanke	ʂakanke	ʂ a k a n + k e		127
3310	Marubo	breathe	ʃinanβi	ʃinan	ʃ i n a n		135
3311	Katukina	breathe	atix	atix	a t i x/ʂ		134
3312	Shipibo_Konibo	breathe	huin	huin	h u i n		128
3313	Kapanawa	breathe	huini	huin	h u i n		128
3314	Kapanawa	breathe	tɨβai	tɨβai	t ɨ β a i		139
3315	Shanenawa	breathe	ʂakan	ʂakan	ʂ a k a n		127
3316	Iskonawa	breathe	huan	huan	h u a n		128
3317	Chakobo	breathe	ʂaka	ʂaka	ʂ a k a		127
3318	Chakobo	breathe	ʂɨo	ʂɨo	ʂ ɨ o		138
3319	Kakataibo	breathe	oin	oin	o i n		128
3320	Kaxarari	breathe	huinwa	huinwa	h u i n w a		128
3321	Mastanawa	breathe	ʂaʔa	ʂaʔa	ʂ a ʔ a		127
3322	Chaninawa	breathe	ʂakaiki	ʂakan iki	ʂ a k a n + i k i		127
3323	Sharanawa	breathe	ʂakainki	ʂakainki	ʂ a k a i n k i		127
3324	Amawaka	breathe	çakan	çakan	ç a k a n		127
3325	Nawa	breathe	ʂaka	ʂaka	ʂ a k a		127
3326	Marinawa	breathe	ʂakainki	ʂakainki	ʂ a k a i n k i		127
3327	Yaminawa	breathe	ʂaʔaʔi	ʂaʔan	ʂ a ʔ a n		127
3328	Kashinawa_P	breathe	ʂɨtɨa	ʂɨtɨa	ʂ ɨ t ɨ a		133
3329	Kashinawa_B	breathe	ʂuĩsinɨi	ʂuĩsinɨi	ʂ u ĩ s i n ɨ i		132
3330	Araona	breathe	janamiki	janamiki	j a n a m i k i		129
2905	Matses	burn [tr. v.]	nɨdɨnka	nɨdɨnka	n ɨ d ɨ n k a		147
2906	Matis	burn [tr. v.]	tʂamo	tʂamo	ʈʂ a m o		148
2907	Marubo	burn [tr. v.]	kua	kuwa	k u w a		140
2908	Katukina	burn [tr. v.]	ku	ku	k u		140
2909	Shipibo_Konibo	burn [tr. v.]	mɨnu	mɨnu	m ɨ n u		141
2910	Kapanawa	burn [tr. v.]	mawa	mawa	m a w a		116
2911	Kapanawa	burn [tr. v.]	kua	kua	k u a		140
