ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID	AUTOSCAID
731	Kakataibo	back [of body]	kaʂo	kaʂo	k a ʂ o		26	17
732	Kaxarari	back [of body]	katapu	katapu	k a t a p u		24	17
733	Mastanawa	back [of body]	piʧi	piʧi	p i tʃ i		25	17
734	Chaninawa	back [of body]	pɨʂaβati	pɨʂaβati	p ɨ ʂ a β a t i		25	17
735	Sharanawa	back [of body]	pɨmiti	pɨmiti	p ɨ m i t i		25	17
736	Amawaka	back [of body]	katɨ	katɨ	k a t ɨ		24	17
737	Nawa	back [of body]	pɨʧi	pɨʧi	p ɨ tʃ i		25	17
738	Marinawa	back [of body]	pɨʧi	pɨʧi	p ɨ tʃ i		25	17
739	Yaminawa	back [of body]	piʧi	pɨʧi	p ɨ tʃ i		25	17
740	Kashinawa_P	back [of body]	pɨʧi	pɨʧi	p ɨ tʃ i		25	17
3707	Matses	bad	iksa	iksa	i k s a		31	20
3708	Matis	bad	iksama	iksama	i k s a m a		31	23
3709	Marubo	bad	iʃna	iʃna	i ʃ n a		32	22
3710	Shipibo_Konibo	bad	hakun-ma	hakunma	h a k u n m a		33	23
3711	Kapanawa	bad	tiruma	iruma	i r u m a		27	18
3712	Kapanawa	bad	hakunma	hakunma	h a k u n m a		33	23
3713	Arara	bad	ʃaramba	ʃaramba	ʃ a r a m b a		27	18
3714	Shanenawa	bad	ʂarama	ʃarama	ʃ a r a m a		27	18
3715	Yawanawa	bad	tʃaka	tʃaka	tʃ a k a		29	20
3716	Nukini	bad	iruma	iruma	i r u m a		27	18
3717	Poyanawa	bad	irumba	irumba	i r u ⁿb a		27	18
3718	Iskonawa	bad	miʧa	miʧa	m i tʃ a		30	21
3719	Iskonawa	bad	iruma	iruma	i r u m a		27	18
3720	Chakobo	bad	kaʂaʂɨni	kaʂaʂɨni	k a ʂ a ʂ ɨ n i		28	19
3721	Kakataibo	bad	aisama	aisama	a i s a m a		31	18
3722	Kaxarari	bad	tsɨwɨma	tsɨwɨma	ts ɨ w ɨ m a		27	18
3723	Mastanawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a		29	20
3724	Chaninawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a		29	20
3725	Sharanawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a		29	20
3726	Amawaka	bad	iɾuma	iɾuma	i ɾ u m a		27	18
3727	Nawa	bad	ʧaka	ʧaka	tʃ a k a		29	20
3728	Marinawa	bad	ʧaka	ʧaka	tʃ a k a		29	20
3729	Yaminawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a		29	20
3730	Kashinawa_P	bad	ʧakaβu	ʧakaβu	tʃ a k a β u		29	20
3731	Kashinawa_B	bad	tʃakaβu	tʃakaβu	tʃ a k a β u		29	20
1211	Matses	bark [of tree]	βitsi	βitsi	β i ts i		35	25
1212	Matis	bark [of tree]	βidtsi	βidtsi	β i ts i		35	25
1213	Marubo	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1214	Shipibo_Konibo	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1215	Shipibo_Konibo	bark [of tree]	βitʃi	βitʃi	β i tʃ i		35	25
1216	Kapanawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1217	Arara	bark [of tree]	ʃaka	ʃaka	ʃ a k a		34	24
1218	Shanenawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1219	Nukini	bark [of tree]	haka	haka	h a k a		34	24
1220	Poyanawa	bark [of tree]	haka	haka	h a k a		34	24
1221	Iskonawa	bark [of tree]	βiʧi	βiʧi	β i tʃ i		35	25
1222	Iskonawa	bark [of tree]	haka	haka	h a k a		34	24
1223	Chakobo	bark [of tree]	ʂakata	ʂakata	ʂ a k a t a		34	24
1224	Chakobo	bark [of tree]	βitʃi	βitʃi	β i tʃ i		35	25
1225	Kakataibo	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1226	Mastanawa	bark [of tree]	hɨpu	hɨpu	h ɨ p u		37	24
1227	Chaninawa	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1228	Sharanawa	bark [of tree]	pɨɸit͡ʃi	pɨɸit͡ʃi	p ɨ ɸ i tʃ i		35	25
1229	Amawaka	bark [of tree]	çaka	çaka	ç a k a		34	24
1230	Nawa	bark [of tree]	diditi	diditi	d i d i t i		38	25
1231	Marinawa	bark [of tree]	pɨsi	pɨsi	p ɨ s i		36	25
1232	Yaminawa	bark [of tree]	ɸiʧi	ɸiʧi	ɸ i tʃ i		35	25
1233	Kashinawa_P	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
1234	Kashinawa_B	bark [of tree]	ʂaka	ʂaka	ʂ a k a		34	24
690	Matses	belly	puku	puku	p u k u		39	26
691	Matis	belly	puku	puku	p u k u		39	26
692	Marubo	belly	pustu	pustu	p u s t u		39	27
693	Katukina	belly	pustu	pustu	p u s t u		39	27
694	Kanamari	belly	posto	posto	p o s t o		39	27
695	Shipibo_Konibo	belly	puku	puku	p u k u		39	26
696	Kapanawa	belly	puku	puku	p u k u		39	26
697	Arara	belly	atu	atu	a t u		40	27
698	Shanenawa	belly	pustu	pustu	p u s t u		39	27
699	Yawanawa	belly	pustu	pustu	p u s t u		39	27
700	Nukini	belly	naβa	naβa	n a β a		42	29
701	Nukini	belly	puhtu	puhtu	p u h t u		39	27
702	Poyanawa	belly	dahβa	dahβa	d a h β a		42	29
703	Iskonawa	belly	nahβa	nahβa	n a h β a		42	29
704	Chakobo	belly	takɨpɨ	takɨpɨ	t a k ɨ p ɨ		41	28
705	Pakawara	belly	puku	puku	p u k u		39	26
706	Kakataibo	belly	puku	puku	p u k u		39	26
707	Kaxarari	belly	turu	turu	t u r u		43	30
708	Mastanawa	belly	ʂaʔi	ʂaʔi	ʂ a ʔ i		44	31
709	Chaninawa	belly	pusto	pusto	p u s t u		39	27
710	Sharanawa	belly	namɨn	namɨn	n a m ɨ n		45	32
711	Amawaka	belly	puku	puku	p u k u		39	26
712	Nawa	belly	atu	atu	a t u		40	27
713	Marinawa	belly	pustu	pustu	p u s t u		39	27
714	Yaminawa	belly	pustu	pustu	p u s t u		39	27
715	Kashinawa_P	belly	pustu	pustu	p u s t u		39	27
716	Kashinawa_B	belly	pustu	pustu	p u s t u		39	27
3856	Matses	big	nua	nua	n u a		51	36
3857	Matis	big	noa	noa	n o a		51	36
3858	Marubo	big	ani	ani	a n i		49	36
3859	Katukina	big	ani-pa	anipa	a n i p a		49	34
3860	Shipibo_Konibo	big	ani	ani	a n i		49	36
3861	Kapanawa	big	ani	ani	a n i		49	36
3862	Arara	big	iwapa	iwapa	i w a p a		47	34
3863	Shanenawa	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3864	Yawanawa	big	iwapa	iwapa	i w a p a		47	34
3865	Nukini	big	rɨpa	rɨpa	r ɨ p a		47	34
3866	Poyanawa	big	hukumba	hukumba	h u k u m b a		52	38
3867	Iskonawa	big	mihira	mihira	m i h i r a		48	35
3868	Chakobo	big	tʃa?ita	tʃaʔita	tʃ a ʔ i t a		46	33
3869	Kakataibo	big	tʃa	tʃa	tʃ a		46	33
3870	Kaxarari	big	laki	laki	l a k i		50	37
3871	Mastanawa	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3872	Chaninawa	big	iwapa	iwapa	i w a p a		47	34
3873	Sharanawa	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3874	Amawaka	big	tuʔa	tuʔa	t u ʔ a		46	33
3875	Nawa	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3876	Marinawa	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3877	Yaminawa	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3878	Kashinawa_P	big	ɨwapa	ɨwapa	ɨ w a p a		47	34
3879	Kashinawa_B	big	iwapa	iwapa	i w a p a		47	34
48	Matses	bird	wiktʂu	wiktʂu	w i k ʈʂ u n		58	44
49	Matis	bird	tʃididiʃ	tʃididiʃ	tʃ i d i d i ʃ		57	40
50	Marubo	bird	ʃai	ʃai	ʃ a i		55	41
51	Shipibo_Konibo	bird	isa	isa	i s a		55	41
52	Kapanawa	bird	isa	isa	i s a		55	41
53	Arara	bird	duĩda	duĩda	d u ĩ d a		54	40
54	Shanenawa	bird	juina	juina	j u i n a		54	45
55	Yawanawa	bird	juina	juina	j u i n a		54	45
56	Nukini	bird	pãri	pãri	p ã r i		59	42
57	Poyanawa	bird	puya	puya	p ɨ n j a		53	39
58	Iskonawa	bird	piɾiʃika	piɾiʃika	p i ɾ i ʃ i k a		55	42
59	Chakobo	bird	isaka	isaka	i s a k a		55	41
60	Pakawara	bird	isku	isku	i s k u		60	41
61	Kakataibo	bird	?isa	ʔisa	ʔ i s a		55	41
62	Kaxarari	bird	ʂuipiatu	ʂuipiatu	ʂ u i p i a t u		56	43
63	Mastanawa	bird	pɨja	pɨja	p ɨ n j a		53	39
64	Chaninawa	bird	pɨija	pɨija	p ɨ n j a		53	39
65	Sharanawa	bird	pɨija	pɨija	p ɨ n j a		53	39
66	Sharanawa	bird	t͡sit͡sipiu	t͡sit͡sipiu	ts i ts i p i/j u		61	46
67	Amawaka	bird	pɨnja	pɨnja	p ɨ n j a		53	39
68	Nawa	bird	pɨja	pɨja	p ɨ n j a		53	39
69	Marinawa	bird	pɨ:ja	pɨ:ja	p ɨ n j a		53	39
70	Marinawa	bird	tsi:tsipju	tsi:tsipju	ts iː ts i p j u		61	46
71	Yaminawa	bird	pɨja	pɨja	p ɨ n j a		53	39
72	Kashinawa_P	bird	isa	isa	i s a		55	41
73	Kashinawa_B	bird	isa	isa	i s a		55	41
2811	Matses	bite	pe	pe	p e		67	49
2812	Matis	bite	pe	pe	p e		67	49
2813	Marubo	bite	naʃa	naʂa	n a ʂ a		62	47
2814	Katukina	bite	naxa	naʂa	n a ʂ a		62	47
2815	Shipibo_Konibo	bite	natɨʂ	natɨʂ	n a t ɨ ʂ		62	47
2816	Kapanawa	bite	natɨʂ	natɨʂ	n a t ɨ ʂ		62	47
2817	Arara	bite	daka	daka	d a k a		63	47
2818	Shanenawa	bite	naka	naka	n a k a		63	47
2819	Yawanawa	bite	naka	naka	n a k a		63	47
2820	Poyanawa	bite	daça	daça	d a ç a		62	47
2821	Iskonawa	bite	kiwi	kiwi	k i w i		64	48
2822	Chakobo	bite	tɨʂa	tɨʂa	t ɨ ʂ a		62	47
2823	Kakataibo	bite	natɨʂ	natɨʂ	n a t ɨ ʂ		62	47
2824	Kaxarari	bite	ʃɨla	ʃɨla	ʃ ɨ l a		65	47
2825	Mastanawa	bite	ʂatɨa	ʂatɨ	ʂ a t ɨ		66	47
2826	Mastanawa	bite	kɨju	kɨju	k ɨ j u		64	48
2827	Chaninawa	bite	kɨjuj	kɨju	k ɨ j u		64	48
2828	Sharanawa	bite	kɨjuwi	kɨju	k ɨ j u		64	48
2829	Amawaka	bite	naʔtɨçɨ	natɨçɨ	n a t ɨ ç ɨ		62	47
2830	Nawa	bite	kɨjuɸi	kɨju	k ɨ j u		64	48
2831	Marinawa	bite	kɨju	kɨju	k ɨ j u		64	48
2832	Yaminawa	bite	kɨjuwi	kɨju	k ɨ j u		64	48
2833	Kashinawa_P	bite	kɨjwa	kɨju	k ɨ j u		64	48
2834	Kashinawa_B	bite	kɨjuwi	kɨju	k ɨ j u		64	48
3508	Matses	black	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ		69	50
3509	Matis	black	wisu	wisu	w i s u		70	50
3510	Marubo	black	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ		69	50
3511	Marubo	black	isu	isu	i s u		70	50
3512	Katukina	black	txeshe	txeshe	tx/ʈʂ e ʃ e		69	50
3513	Shipibo_Konibo	black	wisu	wisu	w i s u		70	50
3514	Kapanawa	black	wisu	wisu	w i s u		70	50
3515	Arara	black	tɨʃɨ	tɨʃɨ	t ɨ ʃ ɨ		69	50
3516	Shanenawa	black	tuʂu	tɨʂɨ	t ɨ ʂ ɨ		69	50
3517	Yawanawa	black	tʃɨhʃɨ	tʃɨhʃɨ	tʃ ɨ h ʃ ɨ		69	50
3518	Nukini	black	βisu	βisu	β i s u		70	50
3519	Poyanawa	black	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ		69	50
3520	Iskonawa	black	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ		69	50
3521	Chakobo	black	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ		69	50
3522	Pakawara	black	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ		69	50
3523	Kakataibo	black	tunan	tunan	t u n a n		71	51
3524	Kaxarari	black	tʃɨʂɨ	tʃɨʂɨ	tʃ ɨ ʂ ɨ		69	50
3525	Mastanawa	black	ɸɨsu(pa)	ɸɨsu	ɸ ɨ s u		70	50
3526	Chaninawa	black	ɸisu	ɸisu	ɸ i s u		70	50
3527	Sharanawa	black	ɸisu	ɸisu	ɸ i s u		70	50
3528	Amawaka	black	t͡ʃaʔu	t͡ʃaʔu	tʃ a ʔ u		68	50
3529	Nawa	black	ɸisu	ɸisu	ɸ i s u		70	50
3530	Marinawa	black	ɸisu	ɸisu	ɸ i s u		70	50
3531	Marinawa	black	ʧɨʂɨ	ʧɨʂɨ	tʃ ɨ ʂ ɨ		69	50
3532	Yaminawa	black	ɸɨsu	ɸɨsu	ɸ ɨ s u		70	50
3533	Kashinawa_P	black	mɨʂu	mɨʂu	m ɨ ʂ u		70	50
3534	Kashinawa_B	black	mɨʂupa	mɨʂupa	m ɨ ʂ u p a		70	50
1062	Matses	blood	intak	intak	i n t a k		73	54
1063	Matis	blood	imi	imi	i m i		72	53
1064	Marubo	blood	imi	imi	i m i		72	53
1065	Katukina	blood	himi	himi	h i m i		72	53
1066	Shipibo_Konibo	blood	himi	himi	h i m i		72	53
1067	Kapanawa	blood	himi	himi	h i m i		72	53
1068	Arara	blood	imbi	imbi	i ⁿb i		72	52
1069	Shanenawa	blood	imi	imi	i m i		72	53
1070	Yawanawa	blood	imi	imi	i m i		72	53
1071	Nukini	blood	imĩ	imĩ	i m ĩ		72	53
1072	Poyanawa	blood	imbi	imbi	i ⁿb i		72	52
1073	Iskonawa	blood	imi	imi	i m i		72	53
1074	Chakobo	blood	himi	himi	h i m i		72	53
1075	Pakawara	blood	himi	himi	h i m i		72	53
1076	Kakataibo	blood	imi	imi	i m i		72	53
1077	Kaxarari	blood	himi	himi	h i m i		72	53
1078	Mastanawa	blood	ibi	ibi	i b i		72	52
1079	Chaninawa	blood	ibi	ibi	i b i		72	52
1080	Sharanawa	blood	ibi	ibi	i b i		72	52
1081	Amawaka	blood	himbi	himbi	h i ⁿb i		72	52
1082	Nawa	blood	ibi	ibi	i b i		72	52
1083	Marinawa	blood	inbi	inbi	i ⁿb i		72	52
1084	Yaminawa	blood	ibi	ibi	i b i		72	52
1085	Kashinawa_P	blood	himi	himi	h i m i		72	53
1086	Kashinawa_B	blood	himi	himi	h i m i		72	53
2234	Matses	blow [wind]	kunke	kunke	k u n k e		74	55
2235	Matis	blow [wind]	kunke	kunke	k u n k e		74	55
2236	Marubo	blow [wind]	ʂuβi iki	ʂuβi iki	ʂ u β i i k i		74	55
2237	Shipibo_Konibo	blow [wind]	ʂu	ʂu	ʂ u		74	55
2238	Kapanawa	blow [wind]	ʂuanki	ʂuanki	ʂ u a n k i		74	55
2239	Arara	blow [wind]	ʂũã	ʂũã	ʂ ũ ã		74	55
2240	Shanenawa	blow [wind]	ʂuan	ʂuan	ʂ u a n		74	55
2241	Yawanawa	blow [wind]	sui	sui	s u i		74	55
2242	Poyanawa	blow [wind]	hun	hun	h u n		74	55
2243	Iskonawa	blow [wind]	hun hun ik	hun hun ik	h u n h u n i k		75	56
2244	Iskonawa	blow [wind]	puyu puyu ik	puyu puyu ik	p u j u p u j u i k		76	57
2245	Chakobo	blow [wind]	ʂu?a	ʂuʔa	ʂ u ʔ a		74	55
2246	Kakataibo	blow [wind]	ʂunka	ʂunka	ʂ u n k a		74	55
2247	Kaxarari	blow [wind]	kuha	kuha	k u h a		74	55
2248	Mastanawa	blow [wind]	ʂunaj	ʂunaj	ʂ u n a j		74	55
2249	Chaninawa	blow [wind]	ʂũnwaki	ʂũwankin	ʂ ũ w a n k i		74	55
2250	Sharanawa	blow [wind]	ʂũnwaki	ʂũnwaki	ʂ ũ n w a k i		74	55
2251	Amawaka	blow [wind]	çunki	çunki	ç u n k i		74	55
2252	Nawa	blow [wind]	ʂuanki	ʂuanki	ʂ u a n k i		74	55
2253	Marinawa	blow [wind]	ʂunwaki	ʂunwaki	ʂ u n w a k i		74	55
2254	Yaminawa	blow [wind]	ʃuwaʔi	ʃuwaʔi	ʃ u w a ʔ i		74	55
2255	Kashinawa_P	blow [wind]	ʂuanka	ʂuanka	ʂ u a n k a		74	55
2256	Kashinawa_B	blow [wind]	ʂuwaki	ʂuwaki	ʂ u w a k i		74	55
993	Matses	bone	kanite	kanite	k a n i t e		82	60
994	Matis	bone	wiʃpo	wiʃpo	w i ʃ p o		81	59
995	Marubo	bone	ʂau	ʂau	ʂ a u		78	58
996	Katukina	bone	xau	xau	x/ʂ a u		78	58
997	Shipibo_Konibo	bone	ʂau	ʂau	ʂ a u		78	58
998	Kapanawa	bone	ʂaw	ʂaw	ʂ a w		78	58
999	Arara	bone	ʃau	ʃau	ʃ a u		78	58
1000	Shanenawa	bone	ʂaw	ʂaw	ʂ a w		78	58
1001	Yawanawa	bone	ʂau	ʂau	ʂ a u		78	58
1002	Nukini	bone	hau	hau	h a u		78	58
1003	Poyanawa	bone	haw	haw	h a w		83	58
1004	Iskonawa	bone	haw	haw	h a w		79	58
1005	Chakobo	bone	ʂau	ʂau	ʂ a u		78	58
1006	Pakawara	bone	ʂau	ʂau	ʂ a u		78	58
1007	Kakataibo	bone	ʂo	ʂo	ʂ o		78	58
1008	Kaxarari	bone	ʂahu	ʂahu	ʂ a h u		78	58
1009	Mastanawa	bone	ʂaw	ʂaw	ʂ a w		78	58
1010	Chaninawa	bone	ʂau	ʂau	ʂ a u		78	58
1011	Sharanawa	bone	ʂau	ʂau	ʂ a u		78	58
1012	Amawaka	bone	çaw	çaw	ç a w		77	58
1013	Nawa	bone	ʂaw	ʂaw	ʂ a w		78	58
1014	Marinawa	bone	ʂaw	ʂaw	ʂ a w		78	58
1015	Yaminawa	bone	ʂaw	ʂaw	ʂ a w		78	58
1016	Kashinawa_P	bone	ʂaw	ʂaw	ʂ a w		80	58
1017	Kashinawa_B	bone	ʂau	ʂau	ʂ a u		78	58
3224	Matses	breathe	tiβoke	tiβoke	t i β o k e		89	63
3225	Matis	breathe	ʂakanke	ʂakanke	ʂ a k a n k e		84	61
3226	Marubo	breathe	ʃinanβi	ʃinan	ʃ i n a n		84	61
3227	Katukina	breathe	atix	atix	a t i x/ʂ		88	62
3228	Shipibo_Konibo	breathe	huin	huin	h u i n		85	61
3229	Kapanawa	breathe	huini	huin	h u i n		85	61
3230	Kapanawa	breathe	tɨβai	tɨβai	t ɨ β a i		89	63
3231	Arara	breathe	sakã	sakã	s a k ã		84	61
3232	Shanenawa	breathe	ʂakan	ʂakan	ʂ a k a n		84	61
3233	Iskonawa	breathe	huan	huan	h u a n		85	61
3234	Chakobo	breathe	ʂaka	ʂaka	ʂ a k a		84	61
3235	Chakobo	breathe	ʂɨo	ʂɨo	ʂ ɨ o		90	61
3236	Kakataibo	breathe	oin	oin	o i n		85	61
3237	Kaxarari	breathe	huinwa	huinwa	h u i n w a		85	61
3238	Mastanawa	breathe	ʂaʔa	ʂaʔa	ʂ a ʔ a		84	61
3239	Chaninawa	breathe	ʂakaiki	ʂakan iki	ʂ a k a n i k i		84	61
3240	Sharanawa	breathe	ʂakainki	ʂakainki	ʂ a k a i n k i		84	61
3241	Amawaka	breathe	çakan	çakan	ç a k a n		84	61
3242	Nawa	breathe	ʂaka	ʂaka	ʂ a k a		84	61
3243	Marinawa	breathe	ʂakainki	ʂakainki	ʂ a k a i n k i		84	61
3244	Yaminawa	breathe	ʂaʔaʔi	ʂaʔan	ʂ a ʔ a n		84	61
